month_id,year,country_id,country_name,decay_12_cw_ged_dummy_sb_0,decay_12_cw_ged_dummy_ns_0,decay_12_cw_ged_dummy_os_0,l1_ged_dummy_sb,l2_ged_dummy_sb,l3_ged_dummy_sb,l4_ged_dummy_sb,l5_ged_dummy_sb,l6_ged_dummy_sb,l12_ged_dummy_sb,l1_ged_dummy_ns,l2_ged_dummy_ns,l3_ged_dummy_ns,l4_ged_dummy_ns,l5_ged_dummy_ns,l6_ged_dummy_ns,l12_ged_dummy_ns,l1_ged_dummy_os,l2_ged_dummy_os,l3_ged_dummy_os,l4_ged_dummy_os,l5_ged_dummy_os,l6_ged_dummy_os,l12_ged_dummy_os,ln_fvp_population200,ssp2_edu_sec_15_24_prop,ssp2_urban_share_iiasa,fvp_lngdpcap_nonoilrent,fvp_lngdpcap_nonoilrent,fvp_grgdpcap_nonoilrent,fvp_grgdpcap_oilrent,fvp_demo,ln_fvp_timeindep,ln_fvp_timesincepreindepwar,ln_fvp_timesinceregimechange,decay_12_cw_acled_dummy_pr_0,l1_acled_dummy_pr,l2_acled_dummy_pr,l3_acled_dummy_pr,l4_acled_dummy_pr,l5_acled_dummy_pr,l6_acled_dummy_pr,l12_acled_dummy_pr
241,2000,56,Eritrea,0.8908987181403393,0.009290680585958758,0.009290680585958758,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.129705811193642,0.1178222,30.4561391808221,7.4266367,7.4266367,-0.05893781,0,0,2.0794415416798357,2.302585092994046,2.0794415416798357,0.3535533905932738,0,0,0,0,0,0,0
241,2000,57,Ethiopia,0.8908987181403393,0.9438743126816935,0.012401570718501561,0,1,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,11.105533466600845,0.1178222,35.9625403424188,6.4284965,6.4284965,0.02998126,0,0,4.983606621708336,4.514514970778918,2.302585092994046,0.3535533905932738,0,0,0,0,0,0,0
241,2000,67,Algeria,0.9438743126816935,0.8908987181403393,0.9438743126816935,1,1,1,1,1,1,1,0,1,0,0,1,0,0,1,1,1,1,1,0,0,10.347681586223219,0.57800758,68.521817651542,9.09323,9.09323,-0.03559051,0.55897662,0,3.6635616461296463,3.6635616461296463,1.791759469228055,0.3337099635425086,0,0,0,0,0,0,0
241,2000,69,Cameroon,0.44544935907016964,0.28061551207734325,0.016554110849363986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.633988103071395,0.24215256,62.2460704030368,7.7272851,7.7272851,-0.04566491,0.92804401,0,3.713572066704308,3.7376696182833684,2.8903717578961645,0.7937005259840998,0,0,0,1,0,0,0
241,2000,70,Central African Republic,0.0009217522584782159,0.0009217522584782159,0.6674199270850172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.231106112951664,0.06373134,20.065847406369,6.7097601,6.7097601,-0.04627541,0,0,3.713572066704308,4.52178235839238,2.70805020110221,0.7071067811865476,0,0,0,0,0,1,1
241,2000,73,Tunisia,0.0009217522584782159,0.0009217522584782159,0.0009217522584782159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.179901473563595,0.55140353,72.4449406532528,8.9017781,8.9017781,0.02244944,0.61226642,0,3.8066624897703196,3.8066624897703196,2.0794415416798357,0.9438743126816935,1,0,0,0,0,0,0
241,2000,74,Benin,0.0009217522584782159,0.0009217522584782159,0.0009217522584782159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.834475473019275,0.15145879,29.8984705093228,7.4190613,7.4190613,0.02709078,0,1,3.713572066704308,4.68213122712422,2.3978952727983707,0.6674199270850172,0,0,0,0,0,0,0
241,2000,76,Equatorial Guinea,0.0009217522584782159,0.0009217522584782159,0.0009217522584782159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.422147333187594,0.51431453,48.2493253453587,7.4848569,7.4848569,-0.68705733,0.41216597,0,3.4965075614664802,3.8066843702730555,3.4965075614664802,0.0009217522584782159,0,0,0,0,0,0,0
241,2000,78,Niger,0.22272467953508485,0.1767766952966369,0.47193715634084676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.337323005711285,0.03834963,31.5060595171245,6.6256386,6.6256386,-0.05046851,0,1,3.713572066704308,4.069128594391898,1.0986122886681098,0.9438743126816935,1,1,1,0,0,0,1
241,2000,79,Nigeria,0.0009217522584782159,0.8908987181403393,0.9438743126816935,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,0,0,1,11.714665670121127,0.4563504,45.5899900018537,7.5334319,7.5334319,-0.14034306,0.45253674,1,3.713572066704308,4.553876891600541,1.0986122886681098,0.9438743126816935,1,1,1,1,1,1,1
